CustomerKey,RegionKey,HomeCountry,MacroRegion,Segment,AcquisitionChannel,JoinDate,TenureBucket,IsLoyaltyMember
1,3,Germany,EMEA,Hardcore Fan,Organic Search,2024-02-23,1-2 years,0
2,8,Australia,APAC,Casual Fan,Direct,2021-11-04,2+ years,0
3,5,Brazil,Americas,Collector,Organic Search,2024-05-06,1-2 years,0
4,4,United States,Americas,Casual Fan,Direct,2025-10-09,0-6 months,1
5,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2025-03-19,6-12 months,1
6,1,United Kingdom,EMEA,Hardcore Fan,Paid Social,2023-07-02,2+ years,1
7,1,United Kingdom,EMEA,Hardcore Fan,Organic Search,2025-02-10,6-12 months,1
8,7,Japan,APAC,Casual Fan,Email,2023-06-14,2+ years,0
9,4,United States,Americas,Hardcore Fan,Paid Social,2021-03-07,2+ years,1
10,5,Brazil,Americas,Casual Fan,Organic Search,2023-08-11,2+ years,0
11,1,United Kingdom,EMEA,Casual Fan,Organic Search,2021-07-27,2+ years,0
12,8,Australia,APAC,Collector,Email,2021-10-05,2+ years,0
13,7,Japan,APAC,Collector,Paid Social,2022-09-17,2+ years,1
14,2,Spain,EMEA,Hardcore Fan,App Store,2021-05-19,2+ years,1
15,1,United Kingdom,EMEA,Casual Fan,Paid Social,2022-11-07,2+ years,1
16,1,United Kingdom,EMEA,Hardcore Fan,Email,2024-08-25,1-2 years,1
17,2,Spain,EMEA,Casual Fan,Email,2021-11-28,2+ years,1
18,4,United States,Americas,Casual Fan,Direct,2024-04-06,1-2 years,1
19,3,Germany,EMEA,Hardcore Fan,App Store,2022-07-01,2+ years,1
20,2,Spain,EMEA,Casual Fan,Direct,2023-12-03,2+ years,0
21,4,United States,Americas,Collector,Influencer,2023-06-08,2+ years,0
22,1,United Kingdom,EMEA,Casual Fan,Organic Search,2022-11-12,2+ years,0
23,2,Spain,EMEA,Casual Fan,Influencer,2023-04-12,2+ years,1
24,3,Germany,EMEA,Hardcore Fan,Direct,2021-09-28,2+ years,1
25,3,Germany,EMEA,Hardcore Fan,Paid Social,2021-10-27,2+ years,0
26,6,Mexico,Americas,Casual Fan,App Store,2023-12-02,2+ years,0
27,1,United Kingdom,EMEA,Casual Fan,Direct,2022-11-30,2+ years,0
28,4,United States,Americas,Hardcore Fan,Email,2025-06-09,6-12 months,1
29,4,United States,Americas,Casual Fan,Direct,2025-03-20,6-12 months,0
30,1,United Kingdom,EMEA,Casual Fan,Organic Search,2024-09-12,1-2 years,0
31,4,United States,Americas,Hardcore Fan,Paid Social,2021-10-12,2+ years,0
32,1,United Kingdom,EMEA,Casual Fan,Influencer,2023-07-26,2+ years,0
33,1,United Kingdom,EMEA,Collector,App Store,2021-09-19,2+ years,1
34,8,Australia,APAC,Hardcore Fan,Influencer,2025-10-11,0-6 months,0
35,8,Australia,APAC,Collector,Direct,2023-09-23,2+ years,1
36,6,Mexico,Americas,Casual Fan,Email,2024-07-02,1-2 years,1
37,2,Spain,EMEA,Collector,Organic Search,2021-07-13,2+ years,0
38,1,United Kingdom,EMEA,Casual Fan,Organic Search,2021-03-22,2+ years,0
39,5,Brazil,Americas,Casual Fan,App Store,2025-06-17,6-12 months,1
40,3,Germany,EMEA,Casual Fan,Organic Search,2022-02-15,2+ years,1
41,1,United Kingdom,EMEA,Casual Fan,Paid Social,2024-03-08,1-2 years,1
42,4,United States,Americas,Casual Fan,Direct,2022-12-31,2+ years,1
43,1,United Kingdom,EMEA,Casual Fan,Direct,2023-01-26,2+ years,1
44,7,Japan,APAC,Casual Fan,Email,2025-03-05,6-12 months,0
45,2,Spain,EMEA,Casual Fan,Organic Search,2024-02-01,1-2 years,0
46,5,Brazil,Americas,Hardcore Fan,Email,2025-04-17,6-12 months,1
47,2,Spain,EMEA,Casual Fan,Influencer,2024-10-25,1-2 years,0
48,4,United States,Americas,Hardcore Fan,App Store,2023-05-05,2+ years,1
49,4,United States,Americas,Hardcore Fan,Direct,2021-02-20,2+ years,1
50,1,United Kingdom,EMEA,Collector,Direct,2024-06-15,1-2 years,1
51,8,Australia,APAC,Casual Fan,Organic Search,2021-02-09,2+ years,0
52,6,Mexico,Americas,Collector,Organic Search,2023-02-08,2+ years,0
53,7,Japan,APAC,Hardcore Fan,Direct,2023-07-10,2+ years,1
54,7,Japan,APAC,Collector,Email,2021-08-11,2+ years,1
55,4,United States,Americas,Casual Fan,Direct,2022-06-02,2+ years,0
56,7,Japan,APAC,Hardcore Fan,Influencer,2022-08-30,2+ years,1
57,1,United Kingdom,EMEA,Hardcore Fan,Direct,2022-01-16,2+ years,1
58,1,United Kingdom,EMEA,Casual Fan,Email,2021-09-29,2+ years,0
59,1,United Kingdom,EMEA,Hardcore Fan,App Store,2024-11-23,1-2 years,1
60,2,Spain,EMEA,Hardcore Fan,Paid Social,2024-11-30,1-2 years,1
61,3,Germany,EMEA,Hardcore Fan,Paid Social,2021-05-26,2+ years,1
62,2,Spain,EMEA,Casual Fan,Direct,2022-03-10,2+ years,0
63,7,Japan,APAC,Hardcore Fan,Paid Social,2023-04-20,2+ years,1
64,2,Spain,EMEA,Casual Fan,Email,2021-08-17,2+ years,0
65,2,Spain,EMEA,Hardcore Fan,Direct,2023-01-13,2+ years,0
66,4,United States,Americas,Casual Fan,Paid Social,2025-05-04,6-12 months,0
67,1,United Kingdom,EMEA,Casual Fan,Organic Search,2022-03-30,2+ years,0
68,6,Mexico,Americas,Casual Fan,Email,2021-12-29,2+ years,0
69,1,United Kingdom,EMEA,Hardcore Fan,Influencer,2024-06-28,1-2 years,1
70,8,Australia,APAC,Collector,Direct,2022-01-29,2+ years,1
71,6,Mexico,Americas,Casual Fan,Direct,2024-08-11,1-2 years,1
72,1,United Kingdom,EMEA,Casual Fan,Influencer,2022-07-24,2+ years,1
73,1,United Kingdom,EMEA,Casual Fan,Organic Search,2025-10-01,0-6 months,1
74,6,Mexico,Americas,Hardcore Fan,Direct,2022-11-13,2+ years,0
75,5,Brazil,Americas,Casual Fan,Organic Search,2024-08-17,1-2 years,1
76,5,Brazil,Americas,Casual Fan,Direct,2023-01-09,2+ years,0
77,6,Mexico,Americas,Hardcore Fan,Organic Search,2023-11-18,2+ years,0
78,1,United Kingdom,EMEA,Casual Fan,Influencer,2022-08-24,2+ years,1
79,2,Spain,EMEA,Casual Fan,App Store,2022-08-27,2+ years,1
80,1,United Kingdom,EMEA,Casual Fan,Influencer,2024-01-02,1-2 years,0
81,7,Japan,APAC,Hardcore Fan,Paid Social,2025-12-02,0-6 months,1
82,5,Brazil,Americas,Collector,App Store,2021-11-09,2+ years,1
83,2,Spain,EMEA,Hardcore Fan,Email,2024-01-09,1-2 years,1
84,1,United Kingdom,EMEA,Casual Fan,Paid Social,2023-11-19,2+ years,1
85,2,Spain,EMEA,Casual Fan,Direct,2023-01-17,2+ years,0
86,2,Spain,EMEA,Casual Fan,Paid Social,2024-08-27,1-2 years,0
87,5,Brazil,Americas,Hardcore Fan,Organic Search,2022-10-25,2+ years,1
88,5,Brazil,Americas,Hardcore Fan,Organic Search,2021-02-26,2+ years,1
89,7,Japan,APAC,Collector,Organic Search,2025-08-09,0-6 months,1
90,3,Germany,EMEA,Casual Fan,Paid Social,2024-12-04,1-2 years,1
91,1,United Kingdom,EMEA,Hardcore Fan,App Store,2022-05-10,2+ years,1
92,5,Brazil,Americas,Hardcore Fan,Email,2024-03-02,1-2 years,0
93,6,Mexico,Americas,Casual Fan,Organic Search,2023-09-27,2+ years,1
94,4,United States,Americas,Hardcore Fan,Paid Social,2021-05-27,2+ years,0
95,6,Mexico,Americas,Collector,App Store,2021-08-17,2+ years,0
96,4,United States,Americas,Collector,Direct,2025-09-28,0-6 months,0
97,4,United States,Americas,Hardcore Fan,Email,2025-06-08,6-12 months,0
98,3,Germany,EMEA,Casual Fan,Organic Search,2025-05-05,6-12 months,1
99,1,United Kingdom,EMEA,Hardcore Fan,Email,2023-05-04,2+ years,0
100,1,United Kingdom,EMEA,Hardcore Fan,Direct,2021-11-28,2+ years,1
101,1,United Kingdom,EMEA,Casual Fan,App Store,2025-01-12,6-12 months,1
102,5,Brazil,Americas,Casual Fan,Email,2023-02-15,2+ years,0
103,2,Spain,EMEA,Casual Fan,Email,2025-01-07,6-12 months,0
104,4,United States,Americas,Casual Fan,Direct,2022-03-18,2+ years,1
105,7,Japan,APAC,Hardcore Fan,App Store,2023-09-28,2+ years,1
106,2,Spain,EMEA,Casual Fan,Paid Social,2022-02-15,2+ years,0
107,3,Germany,EMEA,Casual Fan,App Store,2021-08-01,2+ years,0
108,6,Mexico,Americas,Casual Fan,Email,2021-04-19,2+ years,0
109,2,Spain,EMEA,Casual Fan,Direct,2025-03-06,6-12 months,0
