BrandLine,Category,Year,Quarter,Month,Day,ProductKey,ReleaseSeason,SKU
AeroKick,Footwear,2021,Qtr 1,February,1,55,Performance Drop,BTS-0055
AeroKick,Footwear,2021,Qtr 2,June,1,50,Performance Drop,BTS-0050
AeroKick,Footwear,2022,Qtr 1,March,1,56,Performance Drop,BTS-0056
AeroKick,Footwear,2022,Qtr 3,July,1,51,Performance Drop,BTS-0051
AeroKick,Footwear,2023,Qtr 1,March,1,47,Performance Drop,BTS-0047
AeroKick,Footwear,2023,Qtr 2,April,1,57,Performance Drop,BTS-0057
AeroKick,Footwear,2023,Qtr 3,August,1,52,Performance Drop,BTS-0052
AeroKick,Footwear,2024,Qtr 2,April,1,48,Performance Drop,BTS-0048
AeroKick,Footwear,2024,Qtr 2,May,1,58,Performance Drop,BTS-0058
AeroKick,Footwear,2024,Qtr 3,September,1,53,Performance Drop,BTS-0053
AeroKick,Footwear,2025,Qtr 1,January,1,54,Performance Drop,BTS-0054
AeroKick,Footwear,2025,Qtr 2,May,1,49,Performance Drop,BTS-0049
Matchday,Accessories,2021,Qtr 2,April,1,80,Holiday and Event,ACC-0080
Matchday,Accessories,2021,Qtr 3,September,1,85,Holiday and Event,ACC-0085
Matchday,Accessories,2021,Qtr 4,October,1,75,Holiday and Event,ACC-0075
Matchday,Accessories,2022,Qtr 2,May,1,81,Holiday and Event,ACC-0081
Matchday,Accessories,2022,Qtr 2,June,1,71,Holiday and Event,ACC-0071
Matchday,Accessories,2022,Qtr 4,October,1,86,Holiday and Event,ACC-0086
Matchday,Accessories,2022,Qtr 4,November,1,76,Holiday and Event,ACC-0076
Matchday,Accessories,2023,Qtr 1,January,1,77,Holiday and Event,ACC-0077
Matchday,Accessories,2023,Qtr 2,June,1,82,Holiday and Event,ACC-0082
Matchday,Accessories,2023,Qtr 3,July,1,72,Holiday and Event,ACC-0072
Matchday,Accessories,2023,Qtr 4,November,1,87,Holiday and Event,ACC-0087
Matchday,Accessories,2024,Qtr 1,January,1,88,Holiday and Event,ACC-0088
Matchday,Accessories,2024,Qtr 1,February,1,78,Holiday and Event,ACC-0078
Matchday,Accessories,2024,Qtr 3,July,1,83,Holiday and Event,ACC-0083
Matchday,Accessories,2024,Qtr 3,August,1,73,Holiday and Event,ACC-0073
Matchday,Accessories,2025,Qtr 1,March,1,79,Holiday and Event,ACC-0079
Matchday,Accessories,2025,Qtr 3,August,1,84,Holiday and Event,ACC-0084
Matchday,Accessories,2025,Qtr 3,September,1,74,Holiday and Event,ACC-0074
PitchLab,Training Equipment,2021,Qtr 1,January,1,60,All Year,TRN-0060
