MonthKey,MonthStartDate,Year,MonthNum,MonthName,MonthYear,Quarter,Season,Season_Month_Order,Season_Phase,Home_Games_Month,Transfer_Window,League
202007,2020-07-01,2020,7,Jul,Jul 2020,Q3,2020/21,1,Pre-Season,1,No,Championship
202008,2020-08-01,2020,8,Aug,Aug 2020,Q3,2020/21,2,Early Season,3,Yes,Championship
202009,2020-09-01,2020,9,Sep,Sep 2020,Q3,2020/21,3,Early Season,2,No,Championship
202010,2020-10-01,2020,10,Oct,Oct 2020,Q4,2020/21,4,Mid Season,3,No,Championship
202011,2020-11-01,2020,11,Nov,Nov 2020,Q4,2020/21,5,Mid Season,2,No,Championship
202012,2020-12-01,2020,12,Dec,Dec 2020,Q4,2020/21,6,Festive Period,4,No,Championship
202101,2021-01-01,2021,1,Jan,Jan 2021,Q1,2020/21,7,Transfer Window,2,Yes,Championship
202102,2021-02-01,2021,2,Feb,Feb 2021,Q1,2020/21,8,Mid Season,3,No,Championship
202103,2021-03-01,2021,3,Mar,Mar 2021,Q1,2020/21,9,Mid Season,2,No,Championship
202104,2021-04-01,2021,4,Apr,Apr 2021,Q2,2020/21,10,Late Season,3,No,Championship
202105,2021-05-01,2021,5,May,May 2021,Q2,2020/21,11,Late Season,2,No,Championship
202106,2021-06-01,2021,6,Jun,Jun 2021,Q2,2020/21,12,Off Season,0,No,Championship
202107,2021-07-01,2021,7,Jul,Jul 2021,Q3,2021/22,1,Pre-Season,1,No,Premier League
202108,2021-08-01,2021,8,Aug,Aug 2021,Q3,2021/22,2,Early Season,3,Yes,Premier League
202109,2021-09-01,2021,9,Sep,Sep 2021,Q3,2021/22,3,Early Season,2,No,Premier League
202110,2021-10-01,2021,10,Oct,Oct 2021,Q4,2021/22,4,Mid Season,3,No,Premier League
202111,2021-11-01,2021,11,Nov,Nov 2021,Q4,2021/22,5,Mid Season,2,No,Premier League
202112,2021-12-01,2021,12,Dec,Dec 2021,Q4,2021/22,6,Festive Period,4,No,Premier League
