OrderLineID,OrderID,DateKey,ProductKey,CustomerKey,RegionKey,ChannelKey,Quantity,UnitPrice,GrossRevenue,DiscountAmount,NetRevenue,UnitCost,Profit,PromoType
1,200001,20210101,85,13462,1,1,1,17.0,17.0,1.36,15.64,7.67,7.97,Clearance
2,200002,20210101,85,13602,1,1,1,17.0,17.0,1.36,15.64,7.73,7.91,Clearance
3,200003,20210101,96,24940,1,1,1,41.0,41.0,0.0,41.0,17.38,23.62,None
4,200004,20210101,19,9525,1,1,1,94.0,94.0,11.28,82.72,40.68,42.04,Clearance
5,200004,20210101,90,9525,1,1,1,32.0,32.0,0.0,32.0,13.19,18.81,None
6,200005,20210101,12,5572,1,2,1,102.0,102.0,12.24,89.76,44.89,44.87,Clearance
7,200006,20210101,62,10135,1,2,2,28.0,56.0,1.68,54.32,13.83,26.66,Loyalty Offer
8,200007,20210101,5,17191,1,2,1,96.0,96.0,0.0,96.0,42.32,53.68,Clearance
9,200008,20210101,20,2729,2,1,1,94.08,94.08,11.29,82.79,42.39,40.4,Clearance
10,200009,20210101,34,6494,2,1,2,98.98,197.96,21.78,176.18,43.96,88.26,Clearance
11,200010,20210101,91,9138,2,1,1,44.1,44.1,0.0,44.1,19.05,25.05,None
12,200011,20210101,65,13299,2,2,1,17.64,17.64,0.0,17.64,8.94,8.7,None
13,200012,20210101,59,29207,2,2,2,21.56,43.12,0.0,43.12,10.85,21.42,None
14,200013,20210101,37,13863,2,2,1,97.02,97.02,11.64,85.38,41.88,43.5,Clearance
15,200014,20210101,78,8079,3,1,1,11.4,11.4,2.05,9.35,5.43,3.92,Clearance
16,200015,20210101,45,20026,3,1,1,94.05,94.05,0.0,94.05,42.75,51.3,Clearance
17,200016,20210101,34,1654,3,1,1,95.95,95.95,7.68,88.27,43.49,44.78,Clearance
18,200017,20210101,37,4691,3,2,1,94.05,94.05,11.29,82.76,42.36,40.4,Clearance
19,200018,20210101,17,3851,3,2,1,91.2,91.2,0.0,91.2,42.8,48.4,Clearance
20,200019,20210101,27,866,4,1,2,112.2,224.4,0.0,224.4,45.02,134.36,Clearance
21,200020,20210101,12,22141,4,1,1,112.2,112.2,0.0,112.2,44.06,68.14,Clearance
22,200021,20210101,92,28622,4,1,1,63.8,63.8,0.0,63.8,24.15,39.65,None
23,200022,20210101,95,19785,4,2,1,75.9,75.9,0.0,75.9,28.49,47.41,None
24,200022,20210101,11,19785,4,2,1,105.6,105.6,19.01,86.59,41.57,45.03,Clearance
25,200023,20210101,25,27145,4,2,1,103.4,103.4,0.0,103.4,41.14,62.26,Clearance
26,200024,20210101,92,14793,5,1,2,53.36,106.72,0.0,106.72,24.08,58.57,None
27,200025,20210101,71,19374,5,1,1,23.92,23.92,0.0,23.92,11.85,12.07,Clearance
28,200026,20210101,44,3895,5,2,1,92.92,92.92,16.73,76.19,43.62,32.57,Clearance
29,200027,20210101,83,4888,5,2,1,10.12,10.12,1.11,9.01,5.11,3.9,Clearance
30,200028,20210101,75,7265,6,1,3,16.72,50.16,4.01,46.15,8.62,20.28,Clearance
31,200029,20210101,53,4707,6,2,1,162.8,162.8,0.0,162.8,88.37,74.43,None
32,200030,20210101,51,22029,6,2,1,103.84,103.84,0.0,103.84,56.96,46.88,None
33,200031,20210101,97,6370,7,1,1,28.35,28.35,0.0,28.35,11.37,16.98,None
34,200032,20210101,100,5616,7,1,1,92.4,92.4,0.0,92.4,37.47,54.93,None
35,200033,20210101,95,24990,7,2,1,72.45,72.45,0.0,72.45,28.67,43.78,None
36,200033,20210101,69,24990,7,2,1,99.75,99.75,2.99,96.76,47.15,49.61,Loyalty Offer
37,200034,20210101,55,6098,7,2,1,131.25,131.25,0.0,131.25,59.44,71.81,None
38,200034,20210101,57,6098,7,2,1,201.6,201.6,0.0,201.6,91.09,110.51,None
39,200035,20210101,32,22436,7,2,1,106.05,106.05,0.0,106.05,43.11,62.94,Clearance
40,200036,20210101,7,6530,7,2,1,98.7,98.7,11.84,86.86,41.19,45.67,Clearance
41,200037,20210101,90,1426,8,1,1,28.8,28.8,0.0,28.8,13.66,15.14,None
42,200038,20210101,59,12068,8,1,1,19.8,19.8,0.0,19.8,10.9,8.9,None
43,200038,20210101,90,12068,8,1,1,28.8,28.8,0.0,28.8,13.47,15.33,None
44,200038,20210101,59,12068,8,1,1,19.8,19.8,0.0,19.8,11.04,8.76,None
45,200039,20210101,94,11283,8,2,2,33.3,66.6,0.0,66.6,15.79,35.03,None
46,200039,20210101,97,11283,8,2,1,24.3,24.3,0.0,24.3,11.29,13.01,None
47,200040,20210101,94,20600,8,2,1,33.3,33.3,0.0,33.3,15.37,17.93,None
48,200041,20210102,36,8683,1,1,1,101.0,101.0,0.0,101.0,43.45,57.55,Clearance
49,200042,20210102,13,621,1,1,1,94.0,94.0,2.82,91.18,40.71,50.47,Clearance
50,200043,20210102,99,4742,1,1,1,39.0,39.0,0.0,39.0,16.46,22.54,None
51,200043,20210102,57,4742,1,1,1,192.0,192.0,0.0,192.0,93.24,98.76,None
52,200044,20210102,71,16313,1,1,3,26.0,78.0,9.36,68.64,11.92,32.87,Clearance
53,200044,20210102,74,16313,1,1,3,24.0,72.0,5.76,66.24,10.85,33.7,Clearance
54,200045,20210102,75,13127,1,2,1,19.0,19.0,1.52,17.48,8.7,8.78,Clearance
55,200046,20210102,49,13559,1,2,1,149.0,149.0,0.0,149.0,71.6,77.4,None
56,200047,20210102,70,26695,1,2,1,14.0,14.0,0.0,14.0,7.1,6.9,None
57,200047,20210102,59,26695,1,2,1,22.0,22.0,0.66,21.34,11.1,10.24,Loyalty Offer
58,200048,20210102,49,5017,1,2,1,149.0,149.0,0.0,149.0,71.63,77.37,None
59,200048,20210102,95,5017,1,2,1,69.0,69.0,0.0,69.0,29.14,39.86,None
60,200049,20210102,8,27349,2,1,1,94.08,94.08,7.53,86.55,42.16,44.39,Clearance
61,200050,20210102,32,2670,2,1,2,98.98,197.96,15.84,182.12,43.02,96.09,Clearance
62,200051,20210102,75,18775,2,1,1,18.62,18.62,1.49,17.13,8.74,8.39,Clearance
63,200052,20210102,64,20331,2,1,1,77.42,77.42,2.32,75.1,40.15,34.95,Loyalty Offer
64,200052,20210102,69,20331,2,1,1,93.1,93.1,0.0,93.1,47.12,45.98,None
65,200053,20210102,87,22430,2,2,1,14.7,14.7,1.18,13.52,6.93,6.59,Clearance
66,200054,20210102,50,14037,2,2,1,155.82,155.82,0.0,155.82,75.26,80.56,None
67,200055,20210102,22,8705,2,2,1,92.12,92.12,16.58,75.54,41.82,33.72,Clearance
68,200056,20210102,49,5299,3,1,1,141.55,141.55,0.0,141.55,71.61,69.94,None
69,200057,20210102,55,10568,3,1,1,118.75,118.75,3.56,115.19,59.58,55.61,Loyalty Offer
70,200058,20210102,52,10552,3,2,1,125.4,125.4,3.76,121.64,64.45,57.19,Loyalty Offer
71,200058,20210102,88,10552,3,2,2,13.3,26.6,0.0,26.6,6.53,13.55,Clearance
72,200059,20210102,78,2420,3,2,1,11.4,11.4,0.0,11.4,5.48,5.92,Clearance
73,200060,20210102,78,21525,4,1,1,13.2,13.2,0.0,13.2,5.42,7.78,Clearance
74,200061,20210102,53,7746,4,1,2,203.5,407.0,0.0,407.0,90.39,226.22,None
75,200062,20210102,71,5141,4,1,1,28.6,28.6,2.29,26.31,11.76,14.55,Clearance
76,200063,20210102,58,6318,4,2,1,169.4,169.4,0.0,169.4,73.88,95.52,None
77,200064,20210102,30,15603,4,2,1,112.2,112.2,13.46,98.74,45.35,53.39,Clearance
78,200065,20210102,14,12188,4,2,1,105.6,105.6,8.45,97.15,41.61,55.54,Clearance
79,200066,20210102,53,21469,5,1,1,170.2,170.2,0.0,170.2,88.98,81.22,None
80,200067,20210102,2,2399,5,1,1,88.32,88.32,10.6,77.72,42.11,35.61,Clearance
81,200068,20210102,93,11478,5,1,2,22.08,44.16,0.0,44.16,9.96,24.23,None
82,200068,20210102,13,11478,5,1,1,86.48,86.48,0.0,86.48,41.74,44.74,Clearance
83,200069,20210102,2,7917,5,2,1,88.32,88.32,7.07,81.25,41.92,39.33,Clearance
84,200069,20210102,55,7917,5,2,1,115.0,115.0,0.0,115.0,61.19,53.81,None
85,200070,20210102,54,20306,5,2,1,130.64,130.64,0.0,130.64,68.57,62.07,None
86,200071,20210102,5,21895,5,2,2,88.32,176.64,0.0,176.64,42.27,92.1,Clearance
87,200071,20210102,63,21895,5,2,1,28.52,28.52,0.0,28.52,15.27,13.25,None
88,200072,20210102,95,29487,6,1,1,60.72,60.72,0.0,60.72,28.79,31.93,None
89,200073,20210102,81,6908,6,1,2,23.76,47.52,0.0,47.52,12.46,22.59,Clearance
90,200074,20210102,9,9190,6,2,1,89.76,89.76,0.0,89.76,44.11,45.65,Clearance
91,200074,20210102,99,9190,6,2,1,34.32,34.32,0.0,34.32,16.2,18.12,None
92,200075,20210102,49,18085,7,1,1,156.45,156.45,0.0,156.45,72.68,83.77,None
93,200076,20210102,39,7248,7,1,1,103.95,103.95,12.47,91.48,41.84,49.64,Clearance
94,200077,20210102,90,21940,7,1,2,33.6,67.2,0.0,67.2,13.53,40.14,None
95,200077,20210102,13,21940,7,1,1,98.7,98.7,2.96,95.74,42.08,53.66,Clearance
96,200078,20210102,94,27675,7,2,2,38.85,77.7,0.0,77.7,15.52,46.65,None
97,200079,20210102,100,28844,7,2,1,92.4,92.4,0.0,92.4,37.38,55.02,None
98,200080,20210102,34,25548,7,2,1,106.05,106.05,22.27,83.78,42.73,41.05,Clearance
99,200081,20210102,61,12797,7,2,1,48.3,48.3,0.0,48.3,22.94,25.36,None
100,200082,20210102,71,21966,8,1,1,23.4,23.4,1.87,21.53,11.92,9.6,Clearance
101,200083,20210102,57,15070,8,1,1,172.8,172.8,0.0,172.8,92.04,80.76,None
102,200083,20210102,62,15070,8,1,1,25.2,25.2,0.0,25.2,14.13,11.07,None
103,200084,20210102,1,14345,8,2,1,84.6,84.6,15.23,69.37,40.7,28.68,Clearance
104,200085,20210102,1,25242,8,2,1,84.6,84.6,0.0,84.6,41.96,42.64,Clearance
105,200086,20210103,59,23030,1,1,1,22.0,22.0,0.0,22.0,10.86,11.14,None
106,200086,20210103,21,23030,1,1,1,102.0,102.0,8.16,93.84,44.48,49.36,Clearance
107,200087,20210103,74,17759,1,1,1,24.0,24.0,0.0,24.0,11.23,12.77,Clearance
108,200088,20210103,79,25212,1,1,1,16.0,16.0,2.88,13.12,7.47,5.65,Clearance
109,200089,20210103,3,11295,1,1,1,102.0,102.0,3.06,98.94,45.78,53.16,Clearance
110,200089,20210103,46,11295,1,1,1,101.0,101.0,0.0,101.0,44.17,56.83,Clearance
111,200089,20210103,46,11295,1,1,1,101.0,101.0,15.15,85.85,43.41,42.44,Clearance
112,200090,20210103,47,8352,1,2,1,165.0,165.0,4.95,160.05,78.89,81.16,Loyalty Offer
113,200091,20210103,16,27251,1,2,1,94.0,94.0,7.52,86.48,41.16,45.32,Clearance
114,200092,20210103,67,15364,1,2,1,74.0,74.0,0.0,74.0,37.72,36.28,None
115,200093,20210103,83,5800,1,2,1,11.0,11.0,0.88,10.12,5.01,5.11,Clearance
116,200094,20210103,67,5769,2,1,1,72.52,72.52,0.0,72.52,37.42,35.1,None
117,200095,20210103,79,26749,2,1,3,15.68,47.04,3.76,43.28,7.35,21.24,Clearance
118,200096,20210103,62,12759,2,1,1,27.44,27.44,0.0,27.44,13.96,13.48,None
119,200097,20210103,47,5291,2,1,1,161.7,161.7,0.0,161.7,80.65,81.05,None
120,200098,20210103,51,25527,2,2,1,115.64,115.64,0.0,115.64,56.77,58.87,None
121,200099,20210103,52,16501,2,2,1,129.36,129.36,0.0,129.36,62.49,66.87,None
122,200100,20210103,4,25523,2,2,1,92.12,92.12,7.37,84.75,41.49,43.26,Clearance
123,200101,20210103,71,28259,3,1,1,24.7,24.7,0.0,24.7,11.98,12.72,Clearance
124,200101,20210103,71,28259,3,1,2,24.7,49.4,3.95,45.45,12.08,21.29,Clearance
125,200102,20210103,48,18965,3,1,1,169.1,169.1,5.07,164.03,85.73,78.3,Loyalty Offer
126,200102,20210103,72,18965,3,1,1,26.6,26.6,2.13,24.47,13.06,11.41,Clearance
127,200102,20210103,64,18965,3,1,1,75.05,75.05,2.25,72.8,40.23,32.57,Loyalty Offer
128,200103,20210103,84,5911,3,1,2,31.35,62.7,6.9,55.8,14.99,25.82,Clearance
129,200104,20210103,75,28683,3,2,1,18.05,18.05,3.25,14.8,8.8,6.0,Clearance
130,200105,20210103,20,21288,3,2,1,91.2,91.2,0.0,91.2,41.6,49.6,Clearance
131,200106,20210103,55,25161,3,2,1,118.75,118.75,0.0,118.75,60.94,57.81,None
132,200106,20210103,48,25161,3,2,1,169.1,169.1,0.0,169.1,84.57,84.53,None
133,200107,20210103,98,6019,4,1,1,37.4,37.4,0.0,37.4,14.35,23.05,None
134,200107,20210103,6,6019,4,1,1,112.2,112.2,13.46,98.74,44.92,53.82,Clearance
135,200108,20210103,35,23420,4,1,1,108.9,108.9,0.0,108.9,42.07,66.83,Clearance
136,200109,20210103,83,6708,4,2,2,12.1,24.2,4.36,19.84,5.01,9.83,Clearance
137,200109,20210103,54,6708,4,2,1,156.2,156.2,0.0,156.2,68.63,87.57,None
138,200109,20210103,53,6708,4,2,1,203.5,203.5,0.0,203.5,88.15,115.35,None
139,200110,20210103,74,2313,4,2,2,26.4,52.8,0.0,52.8,11.15,30.5,Clearance
140,200110,20210103,21,2313,4,2,1,112.2,112.2,8.98,103.22,44.81,58.42,Clearance
141,200111,20210103,95,12721,4,2,1,75.9,75.9,0.0,75.9,29.56,46.34,None
142,200112,20210103,54,25905,5,1,1,130.64,130.64,3.92,126.72,67.38,59.34,Loyalty Offer
143,200113,20210103,24,7580,5,1,1,93.84,93.84,16.89,76.95,45.66,31.29,Clearance
144,200113,20210103,44,7580,5,1,1,92.92,92.92,16.73,76.19,44.09,32.11,Clearance
145,200114,20210103,81,27560,5,1,2,24.84,49.68,3.97,45.71,12.25,21.21,Clearance
146,200115,20210103,37,13207,5,2,1,91.08,91.08,10.93,80.15,42.76,37.39,Clearance
147,200116,20210103,75,4239,5,2,1,17.48,17.48,0.0,17.48,8.91,8.57,Clearance
148,200116,20210103,51,4239,5,2,1,108.56,108.56,0.0,108.56,56.99,51.57,None
149,200116,20210103,92,4239,5,2,1,53.36,53.36,0.0,53.36,23.88,29.48,None
