season,month,squad_value(m),player_wages_bonuses(m),staff_wages(m),IT_services(m),loan_repayment(m),misc_oper_expenses(m),share_dividends(m),sponsor_deals(m),broadcasting_income(m),table_position_income,tickets_membership_income(m),kits_accessories_income(m),stadium_renting_income(m),academy_income(m),loan_players_income(m),datekey
2021/22,Jul,85.75,1.225,0.175,0.0875,0.15,0.29,0.269,1.02,1.22,6.87,2.46,1.75,1.26,0.15,0.54,1072021
2021/22,Aug,85.75,1.225,0.175,0.0875,0.15,0.35,0.327,1.07,3.76,0.0,2.13,0.76,0.52,0.16,0.4,1082021
2021/22,Sep,85.75,1.225,0.175,0.0875,0.15,0.37,0.411,1.35,2.79,0.0,1.18,0.49,0.9,0.12,0.37,1092021
2021/22,Oct,85.75,1.225,0.175,0.0875,0.15,0.41,0.411,1.59,2.91,0.0,0.95,0.76,0.59,0.15,0.22,1102021
2021/22,Nov,85.75,1.225,0.175,0.0875,0.15,0.35,0.405,1.35,1.83,0.0,2.46,1.47,1.11,0.15,0.38,1112021
2021/22,Dec,85.75,1.225,0.175,0.0875,0.15,0.37,0.325,0.96,3.74,0.0,2.18,0.61,0.94,0.15,0.68,1122021
2021/22,Jan,85.75,1.225,0.175,0.0875,0.0,0.37,0.244,1.22,3.46,0.0,1.64,0.47,1.29,0.16,0.51,1012022
2021/22,Feb,85.75,1.225,0.175,0.0875,0.0,0.42,0.27,2.17,2.9,0.0,1.06,0.79,0.96,0.17,0.42,1022022
2021/22,Mar,85.75,1.225,0.175,0.0875,0.0,0.37,0.329,1.33,2.1,0.0,2.2,1.75,0.35,0.19,0.42,1032022
2021/22,Apr,85.75,1.225,0.175,0.0875,0.0,0.3,0.285,2.16,1.26,0.0,1.87,1.72,1.12,0.16,0.66,1042022
2021/22,May,85.75,1.225,0.175,0.0875,0.0,0.35,0.319,1.06,2.27,0.0,1.53,1.27,0.54,0.17,0.6,1052022
2021/22,Jun,85.75,1.225,0.175,0.0875,0.23,0.29,0.245,2.37,2.43,0.0,1.26,0.74,1.05,0.15,0.3,1062022
2022/23,Jul,108.5,1.645,0.175,0.0875,0.23,0.35,0.406,2.01,4.16,8.9,1.39,0.51,1.17,0.14,0.36,1072022
2022/23,Aug,108.5,1.645,0.175,0.0875,0.23,0.35,0.328,2.22,1.25,0.0,2.26,1.73,1.2,0.16,0.64,1082022
2022/23,Sep,108.5,1.645,0.175,0.0875,0.23,0.35,0.368,1.34,1.72,0.0,1.53,0.6,0.59,0.15,0.2,1092022
2022/23,Oct,108.5,1.645,0.175,0.0875,0.23,0.3,0.3,1.82,3.42,0.0,2.33,1.19,0.69,0.16,0.48,1102022
2022/23,Nov,108.5,1.645,0.175,0.0875,0.23,0.42,0.252,1.02,2.41,0.0,2.13,1.16,0.43,0.13,0.44,1112022
2022/23,Dec,108.5,1.645,0.175,0.0875,0.23,0.42,0.321,2.33,4.39,0.0,2.13,0.96,0.36,0.17,0.31,1122022
2022/23,Jan,122.5,1.82,0.2625,0.14,0.23,0.36,0.224,0.61,1.19,0.0,1.58,1.21,1.1,0.15,0.29,1012023
2022/23,Feb,122.5,1.82,0.2625,0.14,0.23,0.33,0.238,2.2,2.77,0.0,1.94,1.39,0.87,0.16,0.21,1022023
2022/23,Mar,122.5,1.82,0.2625,0.14,0.23,0.35,0.378,1.94,2.05,0.0,1.34,0.75,0.58,0.19,0.34,1032023
2022/23,Apr,122.5,1.82,0.2625,0.14,0.23,0.31,0.271,0.6,3.21,0.0,2.37,1.22,0.47,0.14,0.22,1042023
2022/23,May,122.5,1.82,0.2625,0.14,0.21,0.29,0.272,0.62,3.98,0.0,1.26,1.5,0.33,0.18,0.63,1052023
2022/23,Jun,122.5,1.82,0.2625,0.14,0.21,0.37,0.337,0.82,1.11,0.0,1.57,1.33,0.62,0.15,0.54,1062023
2023/24,Jul,167.65,2.345,0.2625,0.14,0.21,0.37,0.237,1.88,2.4,12.43,2.37,1.01,1.18,0.13,0.24,1072023
2023/24,Aug,167.65,2.345,0.2625,0.14,0.21,0.3,0.389,0.91,4.2,0.0,1.07,1.31,0.78,0.16,0.55,1082023
2023/24,Sep,167.65,2.345,0.2625,0.14,0.21,0.35,0.265,1.42,2.2,0.0,1.79,1.12,0.67,0.15,0.72,1092023
2023/24,Oct,167.65,2.345,0.2625,0.14,0.21,0.29,0.223,1.93,4.08,0.0,1.59,1.0,1.21,0.15,0.57,1102023
2023/24,Nov,167.65,2.345,0.2625,0.14,0.21,0.35,0.245,2.57,4.01,0.0,1.31,0.8,0.98,0.18,0.7,1112023
2023/24,Dec,167.65,2.345,0.2625,0.14,0.21,0.35,0.244,2.28,1.18,0.0,1.7,1.36,0.53,0.16,0.27,1122023
2023/24,Jan,143.5,2.1,0.2625,0.14,0.21,0.51,0.283,2.68,4.34,0.0,0.96,1.08,1.15,0.12,0.4,1012024
2023/24,Feb,143.5,2.1,0.2625,0.14,0.18,0.34,0.358,0.65,3.88,0.0,2.12,1.53,0.4,0.17,0.54,1022024
2023/24,Mar,143.5,2.1,0.2625,0.14,0.18,0.3,0.416,0.95,1.51,0.0,1.45,1.15,1.0,0.15,0.55,1032024
2023/24,Apr,143.5,2.1,0.2625,0.14,0.18,0.35,0.366,2.19,1.54,0.0,1.19,1.28,0.48,0.18,0.67,1042024
2023/24,May,143.5,2.1,0.2625,0.14,0.18,0.29,0.273,0.93,2.06,0.0,1.01,0.94,0.94,0.19,0.26,1052024
2023/24,Jun,143.5,2.1,0.2625,0.14,0.18,0.35,0.327,1.38,2.43,0.0,2.36,1.2,0.76,0.17,0.62,1062024
2024/25,Jul,217.0,2.835,0.42,0.245,0.18,0.35,0.271,1.73,1.29,27.5,1.65,1.7,0.51,0.12,0.64,1072024
2024/25,Aug,217.0,2.835,0.42,0.245,0.18,0.29,0.24,1.56,1.26,0.0,2.16,0.62,0.49,0.13,0.53,1082024
2024/25,Sep,217.0,2.835,0.42,0.245,0.18,0.35,0.371,1.5,2.12,0.0,2.47,0.59,1.14,0.13,0.34,1092024
2024/25,Oct,217.0,2.835,0.42,0.245,0.18,0.35,0.256,2.4,1.32,0.0,2.06,1.61,0.69,0.17,0.31,1102024
2024/25,Nov,217.0,2.835,0.42,0.245,0.18,0.35,0.404,1.22,3.97,0.0,1.62,0.92,1.01,0.13,0.6,1112024
2024/25,Dec,217.0,2.835,0.42,0.245,0.18,0.3,0.283,2.21,1.52,0.0,2.46,0.79,0.82,0.16,0.61,1122024
2024/25,Jan,217.0,2.835,0.42,0.245,0.18,0.42,0.383,1.55,1.27,0.0,1.31,1.51,1.06,0.15,0.51,1012025
2024/25,Feb,217.0,2.835,0.42,0.245,0.18,0.38,0.406,1.37,3.52,0.0,0.92,0.63,0.34,0.17,0.49,1022025
2024/25,Mar,217.0,2.835,0.42,0.245,0.18,0.41,0.35,1.94,2.95,0.0,2.45,1.46,0.8,0.17,0.54,1032025
2024/25,Apr,217.0,2.835,0.42,0.245,0.18,0.35,0.297,2.34,1.63,0.0,0.92,0.68,0.29,0.15,0.57,1042025
2024/25,May,217.0,2.835,0.42,0.245,0.18,0.34,0.417,1.53,1.44,0.0,1.77,1.27,0.35,0.16,0.67,1052025
2024/25,Jun,217.0,2.835,0.42,0.245,0.18,0.35,0.278,2.34,4.0,0.0,1.48,1.01,0.96,0.16,0.52,1062025
2025/26,Jul,306.25,3.675,0.525,0.245,0.18,0.29,0.302,1.26,4.03,20.9,1.82,0.55,1.28,0.19,0.56,1072025
2025/26,Aug,306.25,3.675,0.525,0.315,0.18,0.3,0.41,0.6,2.03,0.0,2.05,1.11,0.64,0.18,0.43,1082025
2025/26,Sep,306.25,3.675,0.525,0.315,0.14,0.29,0.297,0.95,3.38,0.0,1.95,1.54,0.93,0.12,0.52,1092025
2025/26,Oct,306.25,3.675,0.525,0.315,0.14,0.41,0.22,1.69,2.31,0.0,2.26,1.58,0.56,0.14,0.4,1102025
2025/26,Nov,306.25,3.675,0.525,0.315,0.14,0.42,0.413,1.33,1.88,0.0,1.94,0.52,0.93,0.14,0.66,1112025
2025/26,Dec,306.25,3.675,0.525,0.315,0.14,0.3,0.339,2.04,1.16,0.0,2.34,1.15,0.51,0.14,0.61,1122025
2025/26,Jan,332.5,4.025,0.525,0.315,0.14,0.35,0.381,1.9,4.02,0.0,1.73,1.32,0.43,0.17,0.23,1012026
2025/26,Feb,332.5,4.025,0.525,0.315,0.14,0.3,0.353,0.98,2.51,0.0,1.66,0.5,0.27,0.16,0.31,1022026
2025/26,Mar,332.5,4.025,0.525,0.315,0.14,0.36,0.242,2.58,1.2,0.0,1.09,0.61,0.94,0.16,0.22,1032026
2025/26,Apr,332.5,4.025,0.525,0.315,0.14,0.37,0.247,1.07,1.7,0.0,2.33,0.63,0.8,0.18,0.53,1042026
2025/26,May,332.5,4.025,0.525,0.35,0.14,0.38,0.242,1.62,1.67,0.0,1.87,0.53,1.09,0.16,0.6,1052026
2025/26,Jun,332.5,4.025,0.525,0.35,0.14,0.28,0.258,0.84,1.9,0.0,1.7,0.62,1.01,0.14,0.49,1062026
